,sh600519,sh600036,sh601318,sh601166,sh600030,sh601328,sh600887,sh600000,sh601601,sh600048,sh600028,sh600309,sh601186,sh600031,sh601012,sh601628,sh601088,sh600585,sh600690,sh601888,sh600276,sh601766
2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04098994586233573,0.0,0.0,0.0,0.0,0.0
2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013001485884101105,0.0,0.0,0.0,0.0,0.0
2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012420022581859147,0.0,0.0,0.0,0.0,0.0
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026022304832713727,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07900763358778629,0.0,0.0,0.0,0.0,0.0
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02776626605884802,0.0,0.0,0.0,0.0,0.0
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01733870967741935,0.0,0.0,0.0,0.0,0.0
2022-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027082478457119308,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042748701558130264,0.0,0.0,0.0,0.0,0.0
2022-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029885057471264354,0.0,0.0,0.0,0.0,0.0
2022-03-23,0.03374041297935104,0.005051614320228381,0.0020920502092049986,-0.05285920230658325,-0.0004796163069544779,-0.0020408163265307477,-0.008081896551724088,-0.003831417624521105,-0.0004293688278229624,0.0005807200929153211,-0.004819277108433884,0.01341093117408887,-0.0026385224274406704,-0.005079006772009009,0.00012423903590508267,-0.005032907471931858,-0.012276785714285698,-0.0018812147272239121,-0.005361930294906059,-0.006112253893623243,0.011369788846778528,-0.003669724770642313
2022-03-24,-0.01784053099264349,0.0002185314685316797,0.007306889352818313,0.007102993404363378,-0.007677543186180413,-0.006134969325153228,-0.00869092884302014,0.0,-0.0038659793814432852,-0.009286128845037767,0.004842615012106588,-0.00012484394506850904,-0.007936507936507908,-0.009642654566080489,-0.02099378881987579,-0.006225680933852118,0.024482109227871973,-0.007000538502961673,0.005840071877807773,-0.014724144048252619,0.007494646680942241,0.0
2022-03-25,-0.017972840266600065,-0.012890539654795807,-0.012849740932642462,0.011083123425692731,-0.014990328820115972,0.010288065843621297,-0.020547945205479423,0.0,-0.002587322121604285,-0.017574692442882345,0.00240963855421672,-0.02796853539767774,-0.009333333333333416,-0.020618556701030855,-0.0369242481918538,-0.008613938919342146,-0.0007352941176470562,-0.00027114967462049666,-0.02188476998660127,-0.022626335373904793,-0.033740701381509086,-0.012891344383056946
2022-03-28,-0.017278106508875735,-0.0028773793714033102,0.004618937644341736,-0.0019930244145490716,0.004418262150220897,0.012219959266802416,0.00783216783216778,0.007692307692307665,-0.025507998270644205,0.010137149672033496,0.03125,0.003853564547206423,0.020188425302826385,0.008187134502923854,-0.0006587615283268899,-0.0015797788309636074,0.07505518763796903,0.022511526986710217,-0.005022831050228271,-0.020571077678845584,-0.01292273852075887,-0.001865671641791189
2022-03-29,0.003733140655105993,-0.0008879023307436507,-0.013375130616509967,-0.007488766849725548,-0.01026392961876832,0.008048289738430636,-0.009159034138218058,-0.0050890585241730735,-0.0031055900621118626,-0.008264462809917439,0.00932400932400923,0.00012795905310292177,-0.00527704485488123,-0.030162412993039456,-0.01990771259063928,-0.011867088607595,0.029431895961670174,-0.0005305039787799615,-0.015603487838457997,-0.02131661442006272,0.0005571030640669772,-0.009345794392523366
2022-03-30,0.037852429514097174,0.027105087758275914,0.03156110993433603,0.020623742454728422,0.04049382716049377,0.005988023952095967,0.034733893557422846,0.012787723785166127,0.018246550956831253,0.05476190476190457,-0.002309468822170868,0.047850562947799435,0.019893899204244114,0.054425837320574155,0.01412429378531077,0.04083266613290637,-0.03490691489361697,0.02813163481953307,0.04428904428904423,0.07110826393337599,0.041759465478841795,0.016981132075471583
2022-03-31,-0.006415814114790974,0.012329656067488592,-0.005133470225872738,0.018728437654016883,-0.008068343616516427,0.01388888888888884,-0.0013535462912830365,0.010101010101010166,0.0017482517482518833,-0.0011286681715575453,0.0,-0.0123321123321124,-0.0039011703511053764,-0.006239364719228591,-0.042445947738426915,0.009230769230769154,0.02549087151222862,0.01935983479607639,0.03125000000000022,-0.016925837320574066,-0.016034206306787868,0.0018552875695734272
2022-04-01,0.035491564863292524,0.0064102564102566095,0.010526315789473717,0.0353168843734879,0.010526315789473717,0.001956947162426559,0.012198427758200125,0.008750000000000036,0.012216404886561838,0.028813559322034,0.011574074074073959,0.0635430831994066,0.007832898172323688,0.001712328767123461,0.005679456988502585,0.03315548780487809,-0.008061807188444736,0.005317801975183611,0.02813852813852802,0.06016913061994278,-0.0010863661053774898,0.0
2022-04-06,-0.008432536895860099,0.006157112526539166,0.011846405228758128,0.024299065420560817,0.0,0.009765625,-0.003749330476700563,0.012391573729863659,0.01810344827586219,0.0049423393739702615,0.009153318077803174,0.007555503893990512,0.059585492227979264,0.018803418803418737,-0.05509641873278237,0.0025820730357801747,-0.011175076193701394,0.030982367758186413,-0.005473684210526297,-0.05830368415012044,-0.01441000543773796,0.014814814814814836
2022-04-07,0.0,-0.011183794049377527,-0.021396851029471198,-0.015054744525547559,-0.02083333333333337,-0.007736943907156735,-0.010483870967741948,-0.012239902080783294,-0.01778154106689256,-0.03715846994535521,-0.0113378684807256,0.01061375173050294,-0.009779951100244544,-0.01230425055928408,0.003352769679300316,-0.024650478292862377,0.019863013698630194,-0.01026142193989743,-0.026248941574936513,0.005179768433881682,-0.025655172413793115,-0.0018248175182482562
2022-04-08,0.01076487252124636,0.006828851899274513,0.01567656765676584,0.018527095877721056,0.01934235976789167,0.007797270955165692,0.004074979625101838,0.004956629491945419,0.009051724137931094,0.03348467650397269,0.004587155963302614,0.01050228310502277,0.04444444444444451,0.0911664779161947,-0.013511550196135258,0.020746887966804906,0.0265278710543988,0.010120957788200435,-0.0073913043478262,-0.002849348287359832,-0.039354473386183475,0.012797074954296273
2022-04-11,-0.0358744394618834,-0.027130139889783855,-0.03290008123476862,-0.010914051841746208,-0.028937381404174567,-0.003868471953578201,-0.011904761904761862,-0.012330456226880337,-0.035027765912003406,-0.01537616694124111,-0.0091324200913242,-0.0033890646181653494,0.0011820330969267712,-0.03373118837571343,-0.03063328424153189,-0.02106430155210648,0.023879620543016067,-0.01026392961876832,-0.012264564169951697,-0.05088764591439676,-0.03330386089006787,-0.025270758122743597
